"";"Gen_1";"Gen_2";"Gen_3";"Gen_4";"Gen_5";"Gen_6";"Gen_7";"Gen_8";"Gen_9";"Gen_10";"Gen_11";"Gen_12";"Gen_13";"Gen_14";"Gen_15";"Gen_16";"Gen_17";"Gen_18";"Gen_19";"Gen_20";"Gen_21";"Gen_22";"Gen_23";"Gen_24";"Gen_25";"Gen_26";"Gen_27";"Gen_28";"Gen_29";"Gen_30";"Gen_31";"Gen_32";"Gen_33";"Gen_34";"Gen_35";"Gen_36";"Gen_37";"Gen_38";"Gen_39";"Gen_40";"Gen_41";"Gen_42";"Gen_43";"Gen_44";"Gen_45";"Gen_46";"Gen_47";"Gen_48";"Gen_49";"Gen_50"
"mostra135";38,94;8,7;66,36;51,36;47;45,48;0;9,78;22,46;10,56;10,72;18,74;2,34;54,74;69,7;34,71;39,74;40,67;3,13;1,12;2,88;17,76;5,21;9,87;7,74;38,79;4,61;31,15;0,35;44,86;54,91;39,12;53,2;21,75;137,27;4,72;2,21;55,67;49,49;30,4;67,52;54,01;0,26;0,89;1,31;16,36;39,01;0;21,61;0
"mostra136";6,6;14,3;63,58;43,58;31,97;40,83;0;17,62;11,71;24,27;18,39;29,02;9,68;67,6;27,04;6,49;47,6;37,42;2,28;27,2;1,66;9,66;3,37;15,98;77,85;11,59;3,36;36,09;10,33;36,06;56,86;41,03;38,89;40,37;6,47;21,98;3,22;57,42;35,24;1,15;17,18;61,6;40,2;42,13;9,26;25,71;41,6;0;0,41;0
"mostra137";38,94;24,99;54,09;54,09;4,89;53,3;0;44,92;17,77;70,81;32,74;0,67;15,62;49,1;3,18;3,31;49,1;59,22;22,74;15,58;16,4;41,22;40,69;25,33;35,94;6,9;47,83;3,09;4,32;53,95;50,65;50,01;53,25;12,87;13,94;1,91;4,41;59,22;50,48;39,36;7,51;53,56;32,27;2,54;34,84;11,11;53,56;0;24,1;0
"mostra138";13,74;7,44;57,13;52,13;1,31;60,29;0;35,83;28,17;15,92;5,85;1,5;2,44;64,25;29,265;63,6;59,25;54,4;21,35;18,55;0,56;4,79;34,26;10,79;2,14;9,29;58,3;21,1;11,29;48,23;64,11;54,07;62,42;7,84;3,75;28,4;3,2;59,4;56,57;8,75;23,89;56,92;6,42;23,31;44;4,92;51,92;0;2,41;0
"mostra139";35,02;35,15;56,41;41,41;0,12;46,45;0;14,78;65,39;50,68;3,05;23,19;0,57;57,81;16,5;12,94;42,81;43,82;4,56;1,12;16,64;13,63;5,39;5,9;20,84;4,9;15,09;5,45;14,71;33,75;54,64;38,41;50,42;8,34;3,31;11,96;7,49;58,82;36,76;51,89;4,78;64,33;56,45;13,94;7,85;14,55;49,33;0;1,17;0
"mostra140";4,03;2,91;64,59;44,59;18,26;39,5;0;15,28;4,66;29,27;0,3;19,08;20,15;61,89;0,8;40,9;41,89;35,04;23,53;1,75;0,77;10,76;7,19;26,85;11,02;12,13;4,69;21,26;20,19;32,26;66,8;41,38;39,94;7,57;22,24;15,81;15,41;55,04;45,79;15,68;16,24;57,78;13,62;17,23;4,57;29,57;37,78;0;3,72;0
"mostra141";31,4;0,17;48,95;48,95;7,19;44,88;0;16,85;46,17;7,6;0,96;5,97;1,24;59,51;13,41;5,57;59,51;46,74;15,08;4,91;4,92;16,11;59,16;40,82;16,83;4,71;9,81;9,36;40,45;48,95;58,58;51,25;49,87;20,28;36,36;0,72;87,5;46,74;50,35;78,01;43,24;53,89;13,45;8,65;0,24;60,2;53,89;0;16,06;0
"mostra142";12,39;45,02;67,52;62,52;22,89;59,13;0;26,74;8,29;15,1;25,26;7,57;54,9;57,77;18,315;3,44;52,77;53,6;9,05;7,5;32,63;0,02;4,91;27,97;46,36;84,06;42,27;27,76;9,66;45,29;63,44;54,4;64,75;12,63;7,8;0,88;42,36;58,6;54,55;34,5;42,52;56,33;4,11;2,29;32,26;26,24;51,33;0;17,14;0
"mostra143";84,97;44,04;57,75;42,75;2,49;41,27;0;16,2;0,21;14,94;16,82;10,56;11,87;61,66;59,05;54,31;46,66;44,01;23,69;1,69;6,12;5,76;4,88;61,16;20,34;17,53;4,59;21,26;4,26;45,16;61,52;42,04;41,88;10,16;13,07;8,21;15,9;59,01;46,14;69,73;39,73;64,32;23,81;3,95;14,38;16,52;49,32;0;36,94;0
"mostra144";14,46;32,84;46,7;26,7;1,06;43,84;0;20,41;4,23;16,93;12,57;16,54;2,49;49,74;56,36;18,39;29,74;48,38;11,88;21,94;38,49;9,36;0,35;2,45;1,53;14,89;2,9;30,55;1,74;52,29;57;44,11;37,12;8,22;21,09;7,91;0,08;68,38;42,92;1,91;28,32;66,85;17,7;1,83;20,96;32,04;46,85;0;6,35;0
"mostra145";9,55;0,09;51,89;51,89;10,81;45,54;0;21,05;4,71;34,6;17,81;10,79;34,58;49,5;237,36;6,34;49,5;51,18;6,88;4,14;16,04;4,41;59,92;0,96;15,11;39,12;13,31;16,69;48,59;46,72;52,3;52,82;46,78;0;22;10,71;28,7;51,18;40,76;10,58;10,11;54,57;25,69;29,09;17,12;0,61;54,57;0;1,82;0
"mostra146";3,53;5,47;56,13;51,13;18,17;54,65;0;13,48;41,91;1,06;11,95;13,27;84,13;60,87;14,025;6,38;55,87;57,81;4,52;9,36;15,81;21,98;8,32;1,51;13,18;62,78;2,72;11,22;54;54,42;62,77;60,06;58,99;101,11;11,23;27,23;14,12;62,81;60,35;1,83;61,75;59,34;1,44;6,18;2,28;12,11;54,34;0;4,71;0
"mostra147";0,98;10,78;71,99;56,99;18,37;40,77;0;22,78;27,15;4,88;4,64;20,7;91,18;49,93;87,35;3,42;34,93;50,55;39,71;25,96;45,66;14,5;5,47;1,35;3,49;22,94;4,18;47,02;22,65;46,03;62,24;48,99;49,13;1,85;0,59;11,24;1,38;65,55;53,27;12,05;14,92;54,01;53,78;34,75;6,98;27,25;39,01;0;5,33;0
"mostra148";22,51;34,2;65,55;45,55;0,57;37,12;0;10,83;15,3;45,92;10,85;20,18;2,87;53,18;49,8;1,4;33,18;37,79;54,93;1,24;28,5;0,06;6,04;31,04;12,63;10,37;36,27;14,6;15,79;39,19;70,94;39,03;36,57;45,19;20,81;3,49;1,75;57,79;35,97;11,34;6,35;63,37;28,62;14,92;16,14;5,7;43,37;0;3,6;0
"mostra149";5,52;24,22;45,27;45,27;5,4;54,59;0;29,42;19,78;29,35;5,57;0,59;25,74;43,2;179,52;20,71;43,2;50,39;4,44;116,16;20,03;7,64;6,42;35,5;27,46;32,08;9,28;19,3;2;42,94;43,67;50,95;55,23;36,93;2,65;19,38;7,84;50,39;41,64;6,73;12,61;47,13;78,48;5,57;20,66;11,68;47,13;0;1,56;0
"mostra150";5,29;19,39;64,23;59,23;15,97;52,73;0;4,86;13,09;40,62;13,78;12,87;31,53;60,37;40,125;15,15;55,37;53,14;22,26;0,47;10,5;2,01;10,71;32,43;35,22;45,87;15,83;25,83;10,04;60,7;59,69;53,99;64,22;8,22;28,46;3,3;13,76;58,14;48,24;6,95;21,94;61,55;6,04;83,11;32,33;6,82;56,55;0;4,45;0
"mostra151";2,43;42,95;60,06;45,06;12,35;50,99;0;3,22;4,68;41,31;12,69;1,05;9,83;61,06;139,825;71,34;46,06;45,42;20,62;40,06;12,74;16,75;7,58;57,25;19,07;39,59;8,5;5,39;6,43;44,22;60,27;35,21;44,76;74,12;2,5;6,61;1,79;60,42;52,08;1,12;26,55;63,2;59,66;32,08;22,09;20,62;48,2;0;8,6;0
"mostra152";21,65;7,47;57,58;37,58;11,12;39,95;0;0,58;32,36;56,84;37,57;16,25;13,07;59;20,92;4,74;39;36,38;3,02;44,75;13,78;13,38;8,89;8,45;6,46;8,3;0,12;15,07;60,25;39,51;67,66;46,07;36,4;12,22;12,23;5,01;3,14;56,38;40,27;72,2;24,23;60,36;12,75;13,83;11,39;45,55;40,36;0;0,47;0
"mostra153";0,34;12,2;54,28;54,28;13,97;47,74;0;3,14;6,54;13,48;0,1;10,07;8,92;46,68;0,99;15,29;46,68;45,19;18,29;94,31;73,29;15,4;23,84;18,97;2,47;0,56;4,42;0,9;28,07;48,5;46,57;46,34;58,08;59,76;1,24;12,87;10,47;45,19;49,61;10,63;14,55;58,13;0,11;7,13;39,27;9,09;58,13;0;11,49;0
"mostra154";8,76;21,51;53,7;48,7;16,03;62,88;0;36,97;20,28;4,93;46,26;86,85;7,26;62,14;30,18;18,87;57,14;59,88;6,59;47,06;6,32;8,39;15,02;8,86;26,54;24,58;0,86;21,05;18,53;58,18;58,47;44,81;61,23;17,09;49,86;61,45;18,94;64,88;52,39;2,22;5,12;54,8;11,21;147,44;53,81;34,92;49,8;0;56,95;0
"mostra155";3,23;16,51;68,17;53,17;12,03;42,26;0;22,97;8,52;5,71;13,41;31,49;54,1;66,18;76,275;1,7;51,18;48,77;53,51;3,67;32,78;11,81;82,53;4,36;67,4;7,78;58,38;4,22;64,74;47,84;64,61;35,57;46,51;26,53;1,46;44,76;24,46;63,77;47,1;78,98;18,86;72,15;12,31;11,48;0,89;17,8;57,15;0;32,42;0
"mostra156";3,53;15,4;61,15;41,15;21,38;31,11;0;7,08;3,61;6,27;13,72;67,45;53,59;64,33;2,02;11,21;44,33;33,82;8,42;25,13;43,67;4,34;23,92;24,48;6,58;50,09;29,02;7,96;12,37;42,1;58,82;35,39;38,93;1,55;8,33;14,78;9,4;53,82;43,58;11,35;9,93;52,46;14,6;29,55;1,26;1,95;32,46;0;44,41;0
"mostra157";27,32;3,58;47,69;47,69;5,82;41,26;0;7,82;0,83;7,44;0,07;3,49;50,16;52,43;73,5;5,43;52,43;49,64;13,12;6,67;0,18;25;12,82;28,76;11,76;17,48;36,84;4,7;15,69;45,75;47,77;54,93;49,85;1,13;3,06;62,63;12,71;49,64;47,09;1,55;21,9;48,1;27,05;1,99;36,43;42,43;48,1;0;6,71;0
"mostra158";22,2;84,01;58,23;53,23;7,01;44,97;0;0,21;11,44;13,61;4,6;22,82;27,59;60,12;32,13;2,13;55,12;53,13;20,41;36,94;0,21;6,02;3,92;10,74;57,01;12,33;24,31;24,82;33,67;52,54;58,1;54,02;54,34;2,98;3,31;2,97;22,01;58,13;53,75;0,51;28,88;59,08;2,75;7,87;10,41;74,85;54,08;0;10,19;0
"mostra159";8,12;4,57;52,81;37,81;39,59;46,52;0;54,89;7,26;61,85;41,03;21,51;27,62;70,19;10,375;5,52;55,19;42,5;0,67;4,55;57,63;7,5;21,42;7,8;0,42;2,42;26,99;24,71;11,39;50,05;70,25;41,73;46,3;19,66;11,96;13,31;12,55;57,5;48,61;5,6;26,83;57,21;43,56;4,3;17,64;23,26;42,21;0;0,65;0
"mostra160";2;13,77;58,52;38,52;17,83;36,11;0;1,71;1,41;22,51;6,23;7,85;4,04;59,49;18,94;21,31;39,49;33,58;9,59;0,27;29,82;10,05;11,1;32,92;13,66;72,89;19,26;24,45;9,23;31,93;54,87;33,96;46,84;1,52;69,23;5,99;5,38;53,58;42,79;0,42;41,45;60,13;57;61,01;13,74;17,65;40,13;0;16,83;0
"mostra161";26,6;47,65;62,08;62,08;16,99;58,85;0;56,6;5,69;42,48;5,85;34,86;11,95;48,12;88,74;12,79;48,12;57,22;23,88;29,9;10,91;2,77;12,39;17,14;0,77;50,99;13,12;16,75;13,32;48,01;56,12;58,69;52,81;3,05;25,55;28,15;6,37;57,22;50,27;3,83;9,6;49,47;15,92;44,57;12,2;15,63;49,47;0;16,16;0
"mostra162";18,12;57,63;59,63;54,63;4,24;51,78;0;13,81;0,42;5,9;16,75;11,78;6,49;51,66;60,435;127,72;46,66;60,26;4,34;40,26;3,94;6,08;20,49;0,57;14,29;7,87;8;22,06;14,26;50,83;56,53;57,7;57,39;15,19;2,29;0,19;26,34;65,26;50,02;37,66;10,47;64,84;63,18;15,95;10,66;12,53;59,84;0;47,01;0
"mostra163";0,24;9,58;59,05;44,05;10,07;44,72;0;17,34;0,09;29,4;58,55;29,16;2,63;66,51;34,95;38,39;51,51;46,07;43,49;0,1;41,8;21,14;27,8;6,81;8,51;11,77;9,94;0,08;28,33;42,41;57,54;46,97;57,88;4,12;9,93;5,58;5,92;61,07;39,02;8,05;4,85;64,22;4,41;3,6;5,09;1,33;49,22;0;23;0
"mostra164";7,63;0,01;64,36;44,36;3,1;40,63;0;0,32;38;49,69;34,39;3,07;27;63,12;32,28;81,66;43,12;37,13;13,28;15,72;12,39;3,86;1,32;0,04;6,63;10,45;11,38;14,1;3,29;36,36;56,45;33,86;45,25;61,58;6,81;16,36;0,62;57,13;47,41;17,03;22,17;58,42;22,85;31,53;6,54;12,67;38,42;0;9,76;0
"mostra165";8,52;29,54;41,74;41,74;23,12;38,11;0;13,24;11,82;24,73;17,58;7,57;9,7;47,19;6,3;20,95;47,19;52,26;4,92;28,33;60,83;29,77;63,45;7,29;3,92;9,45;15,11;14,28;22,66;43,91;51,8;54,41;49,51;35,33;62,29;34,44;2,89;52,26;39,44;27,49;12,21;57,02;9,31;21,32;3,46;32,84;57,02;0;93,4;0
"mostra166";3,63;0,33;54,16;49,16;0,92;47,82;0;18,91;25,82;34,72;1,97;6,83;63,35;63,68;51,405;0,35;58,68;49,75;25,76;16,06;24,54;13,83;7,71;5,35;1,05;43,95;5,07;43,49;0,99;56,36;58,96;58,08;50,14;15,78;56,46;0,56;10,29;54,75;49,8;20,83;16,5;59,46;26,26;64,18;14,94;53,52;54,46;0;0,14;0
"mostra167";1,21;14,58;61,89;46,89;2,79;40,21;0;0,18;45,88;48,33;4,77;3,53;15,94;63,78;27,4;93,7;48,78;43,38;9,23;11,89;18,01;15,65;5,54;46,83;11,59;15,85;35,36;6,81;36,09;43,53;48,45;40,43;39,07;13,84;3,74;5,97;43,51;58,38;46,5;35,02;6,39;56,09;21,43;12,78;8,83;0,35;41,09;0;2,66;0
"mostra168";45,38;39,69;58,26;38,26;27,98;36,47;0;27,66;64,88;31,19;4,06;3,46;3,11;64,8;26,46;14,52;44,8;43,09;12,79;64,86;8,96;23,82;56,99;32,03;92,94;5,2;4,9;10,08;24,43;32,3;61,28;43,71;38,2;10,61;17,18;28,89;2,04;63,09;36,94;6,97;6,4;59,49;11,35;23,52;54,13;25,24;39,49;0;33,68;0
"mostra169";8,79;46,14;47,68;47,68;22,94;52,86;0;50,41;5,09;1,81;6,08;2,54;0,32;48,28;43,95;53,76;48,28;50,21;16,52;2,81;8,88;8,63;9,83;59,06;5,54;31,21;4,83;17,98;54;58,44;52;40,28;55,08;0,46;8,03;10,25;2,29;50,21;42,51;50,59;22,63;56,47;1,3;10,7;37,6;30,85;56,47;0;28,61;0
"mostra170";6,61;27,04;56,83;51,83;29,48;61,98;0;36,46;20,07;4,58;21,48;2,84;5,55;61,93;12,825;15,87;56,93;48,7;44,63;15,2;35,55;21,91;23,17;29,12;39,01;14,38;0,07;4,45;95,04;55,79;53,67;58,08;54,07;23,18;53,97;8,11;39,69;53,7;54,91;19,47;15,49;56,51;23,34;4,9;21,13;58,39;51,51;0;5,16;0
"mostra171";8,46;12,12;61,5;46,5;30,44;47,96;0;9,41;49,97;42,35;29,3;32,75;17,07;51,37;81,375;9,05;36,37;45,47;13,24;47,96;40,79;22,54;14,38;6,28;10,66;26,01;25,41;14,65;8,88;46,99;65,03;49,43;45,5;30,04;2,71;29,03;12,48;60,47;40,23;25,01;35,97;65,55;41,21;9,92;51,25;14,91;50,55;0;2,87;0
"mostra172";26,7;26,2;62,59;42,59;24,41;39,78;0;8,01;8,83;18,77;12,23;30,74;3,21;68,36;11,14;31,21;48,36;45,55;22,97;28,08;0,07;11,98;18,53;0,46;4,69;9,9;15,23;13,45;17,37;36,53;58,77;39,59;31,57;18,35;2,94;15,65;10,63;65,55;45,58;26,75;23,48;54,09;8,65;24,84;38,42;8,15;34,09;0;23,46;0
"mostra173";5,71;1,58;54,13;54,13;3,62;55,09;0;2,88;16,87;15,69;25,22;2,88;15,81;50,45;24,78;12,56;50,45;47,89;104,09;3,31;0,56;8,11;21,89;35,34;3,47;35,26;9,7;29,6;28,08;49,92;50,55;57;44,22;37,59;13,49;13,05;8,64;47,89;44,49;26,88;4,34;44,55;16,15;25,67;65,04;7,08;44,55;0;13,66;0
"mostra174";10,68;38,71;59,86;54,86;25,42;54,05;0;38,74;8,4;15,8;3,62;1,1;29,75;58,67;2,31;18,42;53,67;71,21;47,41;22,12;28,13;16,46;28,21;23,41;25,64;54,84;3,38;44,37;42,02;58,15;70,84;46,54;61,1;20,13;80,94;3,68;7,54;76,21;54,34;27,32;18,21;58,62;9,36;8,23;11,17;6,36;53,62;0;49,46;0
"mostra175";36,84;59,72;54,97;39,97;18,61;45,87;0;12,8;6,84;0,57;1,31;12,39;0,54;56,99;31,575;29,48;41,99;40,52;31,22;0,91;17,38;75,46;5,15;23,75;0,86;10,05;3,85;4,98;2,62;42,25;56,45;46,67;36,1;17,18;36,7;4,02;24,19;55,52;42,71;30,91;47,57;61,25;16,07;21,9;2,12;6,55;46,25;0;1,57;0
"mostra176";68,72;41,99;58,05;38,05;3,3;37,66;0;17,24;14,1;40,92;20,42;7,46;38,33;60,28;133,28;6,68;40,28;43,54;0,83;9,7;74,48;61,95;12,55;1,5;8,05;3,05;1,05;27,85;18,48;40,59;58,26;43,95;35,78;9,72;64,64;1,93;14,01;63,54;45,18;6,16;17,4;62,49;5,77;10,39;30,46;4,89;42,49;0;10,01;0
"mostra177";43,86;56,61;52,55;52,55;13,81;46,85;0;9,99;12,49;8,66;10,22;2,52;66,74;57,99;61,65;9,65;57,99;39,73;4,6;6,03;0,84;46,62;3,34;8,94;12,46;18,35;16,15;26,58;25,7;55,37;47,22;49,72;61,6;61,53;6,37;12,09;28,22;39,73;54,93;6,04;22,05;45,63;20,95;19,78;31,93;7,38;45,63;0;2,44;0
"mostra178";8,21;24,46;63,35;58,35;5,09;52,38;0;20,68;15,71;33,39;23,34;28,63;9,38;60,59;27,9;49,8;55,59;52,92;40,98;4,91;23,22;1,2;9,48;13,48;47,63;20,94;13,93;2,85;9;53,02;66,04;56,84;57,71;40,91;18,2;18,36;8,37;57,92;42,25;12,87;3,65;65,57;18,84;7,49;19,31;2,81;60,57;0;40,4;0
"mostra179";21,11;53,06;60,1;45,1;3,69;52;0;11,89;3,6;7,13;17,02;7,89;5,5;58,24;32,8;0,26;43,24;38,45;15,93;0,1;8,73;5,35;23,09;0,24;49,54;37,19;57,15;26,15;47,52;45,46;56,56;44,15;47,95;15,51;47,93;45,69;2,58;53,45;49,68;2,06;18,9;68,26;26,64;2,49;15,72;4,6;53,26;0;14,84;0
"mostra180";27,98;35,39;54,54;34,54;7,3;43,03;0;3,1;9,89;56,73;0,02;24,42;48,77;59,74;5,7;7,64;39,74;38,18;55,92;12,7;37,71;36,28;23,83;22,07;10,68;9,4;1,99;47,53;3,86;33,18;55,24;38,66;37,71;15,02;4,56;0,88;66,43;58,18;39,19;11,19;1,05;54,81;1,74;11,31;40,16;7,88;34,81;0;5,57;0
"mostra181";3,32;8,22;47,05;47,05;15,64;52,22;0;33,41;32,06;37,04;23,17;4,01;22,62;49,56;49,08;12,32;49,56;55,66;7,91;1,72;0,18;14,85;3,19;39,98;23,84;0,51;8,43;8,91;5,57;36,99;58,93;52,62;46,98;16,6;97,33;10,64;6,9;55,66;44,51;1,21;35,02;43,21;62,18;79,03;32,58;4,52;43,21;0;0,57;0
"mostra182";28,24;5,58;51,75;46,75;48,42;70,92;0;12,23;26,69;19,49;7,34;9,49;51,52;60,67;16,395;19,41;55,67;56,49;1,39;14,37;3,49;12,79;0,28;12,62;27,4;20,06;2,41;22,48;0,79;59,5;54,38;59,84;57,29;44,38;5,49;6,23;6,32;61,49;60,2;53,8;4,42;62,75;27,59;30,93;1,21;24,04;57,75;0;100,3;0
"mostra183";22,02;19,12;54,61;39,61;4,14;45,59;0;43,3;53,19;4,12;0,97;42,2;0,55;63,52;116,85;0,59;48,52;54,99;35,14;14,92;1,89;2,07;10,53;38,64;6,05;15,78;56,95;22,38;16,54;35,19;65,13;49,09;50,48;5,72;2,95;22,74;0,84;69,99;39,32;16,4;8;52,71;3,43;12,75;39,41;3,93;37,71;0;4,13;0
"mostra184";6,61;17,51;66,05;46,05;6,14;45,84;0;8,48;0,23;0,09;18;35,72;13,94;51,23;68,8;20,19;31,23;40,3;2,78;34,06;3,72;42,65;7,4;4,72;61;11,1;23,97;4;18,77;42,95;59,77;37,04;40,52;10,78;12,79;43,21;34,72;60,3;35,12;1,43;7,86;58,87;15,56;5,95;66,19;42,7;38,87;0;82,23;0
"mostra185";1,74;0,71;45,02;45,02;2,79;52,2;0;11,01;14,79;75,8;16,39;33,41;0,14;55,4;43,74;11,2;55,4;42,7;8,05;27,29;30,46;80,22;1,15;11,43;7,57;3,17;1,19;7,49;5,68;47,73;52,49;53,11;42,71;14,28;13,31;22,62;6,21;42,7;46;18,28;14,37;50,91;41,12;5,72;19,4;21,86;50,91;0;18,61;0
"mostra186";11,08;8,56;58,25;53,25;5,88;54,75;0;46,31;6,54;28,01;29,62;29,38;0,04;61,11;1,395;5,81;56,11;58,18;24,49;70,24;45,62;17,37;13,8;6,31;30,6;18,55;42,69;41,52;56,34;50,85;57,99;61,38;49,81;11,6;7,62;59,95;7,78;63,18;56,25;9,77;0,49;66,18;19,57;24,44;13,76;9,37;61,18;0;15,8;0
"mostra187";16,97;16,37;63,56;48,56;7,45;43,34;0;23,07;4,21;4,05;2,86;3,73;4,03;59,47;179,625;20,7;44,47;48;1,83;2,51;7,72;1,48;9,3;8,72;2,49;4,36;8,39;21,75;2,93;39,4;58,58;46,94;52,23;2,64;2,68;1,65;12,79;63;46,33;1,15;45,47;59,74;3,3;20,87;8,42;10,76;44,74;0;3,08;0
"mostra188";10,35;0,9;63,7;43,7;0,82;35,89;0;8,56;14,31;12,4;12,84;28,64;13,79;60,5;14,58;13,93;40,5;36,48;2,02;24,91;28,25;1,38;51,33;55,16;27,93;4,92;14,71;7,43;17,69;41,45;56,08;38,16;36,69;18,02;26,45;12,62;14,78;56,48;34,55;16,79;21,3;61,91;22,06;16,02;6,63;4,87;41,91;0;5,48;0
"mostra189";26,3;14,49;50,72;50,72;36,61;55,2;0;20,3;55,98;0,01;41,07;14,8;25,75;53,15;116,55;19,93;53,15;53,7;34,25;61,14;7,8;27,78;4,85;6,82;16,45;18,13;12,18;2,28;20,1;46,62;40,17;49,52;48,25;21,58;36,36;3,69;33,07;53,7;50,4;17,05;11,65;50,82;45,34;6,99;25,5;13,99;50,82;0;7,26;0
"mostra190";26,46;7,97;63,78;58,78;15,28;52,78;0;19,64;5,85;47,87;24,36;5,94;7,42;68,2;14,115;3,77;63,2;52,58;1,77;42,89;5,6;31,69;5,98;15,05;89,38;7,72;38,07;7,76;21,65;53,35;57,67;53,88;51,98;15,46;0,9;7,46;19,3;57,58;67,08;49,04;9,15;60,7;11,23;7,45;5,67;7,7;55,7;0;3,87;0
"mostra191";34,2;15,94;65,42;50,42;41,76;46,39;0;7,57;4,92;19,77;30,8;20,43;5,24;53,71;32,925;16,8;38,71;38,74;57,27;6,96;2,99;50,44;3,25;7,51;12,67;7,81;1,81;21,05;42,88;38,36;53,9;42,77;35,37;11,27;101,97;15,71;33,6;53,74;47,14;59,05;31,67;57,37;0,42;7,35;29,55;23,3;42,37;0;15,21;0
"mostra192";37,29;13,74;68,62;48,62;2,94;38,46;0;16,36;7;1,34;9,59;40,76;22,29;57,14;88,86;3,67;37,14;36,41;11,35;27,29;74,45;5,17;1,43;33,25;1,59;31,76;10,5;18,67;18,81;35,48;51,66;30,74;50,03;55,95;49,59;19,11;1,64;56,41;42,29;39,32;11,26;56,08;10,53;27,16;2,63;28,82;36,08;0;1,31;0
"mostra193";7,46;0,8;49,93;49,93;5,95;52,42;0;1,45;14,61;13,46;7,9;17,75;9,89;49,43;15,33;23,49;49,43;59,55;39,23;36,72;7,22;0,07;1,25;6,71;65,24;0,51;57,48;12,26;26,07;43,89;53,51;49,62;50,73;38,35;44,59;1,1;17,85;59,55;48,39;26,14;99,89;51,82;2,67;61,38;7,22;6,59;51,82;0;46,67;0
"mostra194";7,14;17,18;57,31;52,31;0,25;56,5;0;5,42;39,65;42,85;1,83;29,33;20,1;58,9;2,835;21,51;53,9;57,58;1,16;7,83;20,43;19,39;14,56;9,42;17,29;30,07;5,2;8,72;35,21;58,7;63,9;53,39;51,18;27,25;105,42;27,65;12,47;62,58;58,43;5,1;25,78;62,05;117,33;20,47;27,72;48,41;57,05;0;21,44;0
"mostra195";9,65;42,08;48,88;33,88;17,35;39,07;0;43,65;20,27;9,27;14,12;22,01;16,49;68,42;44,625;52,73;53,42;41,94;49,25;12;73,62;9,29;39,39;4,4;19,83;0,57;13,06;13,96;9,44;40,73;60,91;46,16;47,06;3,31;29,46;20,16;1,53;56,94;45,27;1,48;26;59,01;1,69;43,9;35,34;7,81;44,01;0;10,66;0
"mostra196";30,46;25,09;60,33;40,33;3,82;47,2;0;28,67;2;3,96;13,12;4,36;4,9;55,13;81,42;16,92;35,13;44,42;5,71;8,39;40,98;19,82;42,79;6,17;8,65;0,47;33,62;19,59;17,42;41,13;58,1;34,15;38,64;19,02;45,98;7,84;1,92;64,42;39,64;64,64;22,76;62,91;4,21;5,14;22,98;1,5;42,91;0;0,25;0
"mostra197";32,75;9,32;41,05;41,05;12,56;48,78;0;3,16;58,25;7,56;6,22;16,52;26,35;42,34;21,42;18,19;42,34;42,78;98,05;0,54;35,08;9,99;55,81;6,51;1,52;37,69;6,82;24,47;26,26;57,73;47,64;55,1;58,12;2,93;6,53;0,55;49,27;42,78;50,73;2,23;36,52;52,76;15,5;11,09;9,7;12,95;52,76;0;45,64;0
"mostra198";3,5;8,28;61,14;56,14;0,47;47,16;0;15,46;20,47;16,86;37,97;1,35;37,64;60,84;5,25;32,39;55,84;56,84;7,41;40,83;14,9;33,69;8,65;31,39;27,27;8,18;51,27;0,36;38,65;59,95;59,58;62,44;56,98;0,95;15,99;2,7;1,23;61,84;52,77;5,03;66,04;57,21;1,76;4,22;21,73;45,36;52,21;0;15,47;0
"mostra199";13,17;79,59;66,18;51,18;48,56;40,82;0;14;7,09;57,19;5,94;32,45;9,08;64,56;12,625;21,82;49,56;39,07;10,37;50,14;50,85;3,89;20,69;5,75;60,98;8,66;3,3;8,63;8,91;41,53;59,31;48,24;52,97;10,6;5,09;6,43;2,96;54,07;54,11;11,34;8,7;56,85;17,66;14,08;44,26;13,56;41,85;0;12,46;0
"mostra200";35,18;0,26;65,63;45,63;28,94;29,01;0;17,17;6,72;26,18;69,28;14,23;3,91;59,1;8,2;27,42;39,1;34,92;5,38;18,71;7,33;1,48;6,05;2,4;25,1;8,45;5,24;25,35;54,49;43,74;64,59;32,79;33,93;7,07;11,08;34,4;20,84;54,92;48,9;0,55;45,28;53,42;11,77;12,88;6,24;10,24;33,42;0;32;0
"mostra201";35,49;33,73;50,17;50,17;21,83;54,58;0;4,26;4,6;9,43;20,22;3,97;24,5;47,39;24,42;6,65;47,39;53,51;7,59;23,28;3,04;21,04;38,67;5,95;3,99;10,78;12,43;91,91;4,33;42,92;44,66;53,56;54,56;0,33;5,92;3,75;5,68;53,51;61,53;10,01;3,58;46,99;11,44;56,84;12,17;4,6;46,99;0;5,5;0
"mostra202";2,44;33,71;62,46;57,46;11,07;57,45;0;8,77;3,84;17,12;1,69;5,73;22,82;65,84;23,955;10,88;60,84;53,92;5,77;6,29;26,19;32,47;33,84;29,54;25,36;15,63;67,87;5,33;7,52;45,31;61,27;46,66;50,05;3,15;2,1;15,27;2,02;58,92;68,99;37,35;21,92;63,03;12,21;4,22;20,16;7,32;58,03;0;7,79;0
